name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"wind turbine construction, 2.3MW, precast concrete tower, onshore","wind turbine, 2.3MW, onshore","Manufacture of engines and turbines, except aircraft, vehicle and cycle eng",2811, Power plants,53262,,,e522ff6b21f18f5514128da80f4e1718,ordinary transforming activity,RoW,1.0,unit,0.0
"market for weaned calves, live weight","weaned calves, live weight",Raising of cattle and buffaloes,0141, Cattle,2111,AgriForeAnim,"Live animal, fish and their products",b3a0d0cf32a3aa9ee19806bf20112252,market activity,RoW,1.0,kilogram,0.0
market for soap,soap,"Manufacture of soap and detergents, cleaning and polishing preparations, pe",2023," Soap; organic surface-active products and preparations for use as soap; paper, wadding, felt and nonwovens, im[…]",35321,Chemical,Chemical products,3852b1b174a7f50d9ae701878e100c3c,market activity,GLO,1.0,kilogram,0.0
market for chemical factory,chemical factory,Construction of other civil engineering projects,4290, Other constructions for manufacturing,53269,,,b22c55c8fb8ba18f30cae833c2f0d542,market activity,GLO,1.0,kilogram,0.0
"market for maintenance, tanker for liquid goods other than petroleum and liquefied natural gas","maintenance, tanker for liquid goods other than petroleum and liquefied natural gas","Repair of transport equipment, except motor vehicles",3315, Maintenance and repair services of other transport equipment,87149,,,0fa91f1101db426e84d7d457f4cb10f2,market activity,GLO,1.0,unit,0.0
market for decommissioned chemical production facilities,decommissioned chemical production facilities,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,fec40d7ed39bb514371539aa37b1f93c,market activity,GLO,-1.0,kilogram,0.0
"market for intermodal shipping container, 20-foot","intermodal shipping container, 20-foot",Manufacture of bodies (coachwork) for motor vehicles; manufacture of traile,2920, Containers specially designed and equipped for carriage by one or more modes of transport,49221,MachElecTrans,Transport vehicles,8d1c44861989c517d3ae7baada70dcf7,market activity,GLO,1.0,unit,0.0
"wood preservative production, organic, indoor use, occasionally wet","wood preservative, organic, indoor use, occasionally wet",Manufacture of pesticides and other agrochemical products,2021, Miscellaneous basic chemical products,34500,Chemical,Chemical products,38ea4463bc362137406fec7484558990,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for liquid packaging board container,liquid packaging board container,Manufacture of corrugated paper and paperboard and of containers of paper a,1702," Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",32153,ProcBio,Pulp & paper,3c9a8162154baa6996f2c01fae7de3d5,market activity,GLO,1.0,kilogram,0.0
"consumer electronics production, mobile device, smartphone","consumer electronics, mobile device, smartphone",Manufacture of communication equipment,2630, Telephones for cellular networks or for other wireless networks,47222,MachElecTrans,Metal/electronic equipments and parts,99f91e744b18f55f9415faafaaa27d07,ordinary transforming activity,GLO,1.0,unit,0.0
"treatment of waste polystyrene, unsanitary landfill, dry infiltration class (100mm)",waste polystyrene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,874bfee20d8618fad1f703f394a6ef66,ordinary transforming activity,GLO,-1.0,kilogram,0.0
market for 2-methylpentane,2-methylpentane,Manufacture of refined petroleum products,1920, Basic organic chemicals,34100,Chemical,Chemical products,7ce27c7965966bc482506e65e5fa7a8a,market activity,GLO,1.0,kilogram,0.0
"hydraulic fluid production, for geological stimulation",hydraulic fracturing fluid,Manufacture of other chemical products n.e.c.,2029, Other chemical products n.e.c.,35499,Chemical,Chemical products,a7bf4c96895da4b416f46eb9fb5e104f,ordinary transforming activity,GLO,1.0,cubic meter,0.0
manganese sulfate production,manganese sulfate,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,Chemical,Chemical products,558dfc2a9c11b73127d7361d4f4f292b,ordinary transforming activity,GLO,1.0,kilogram,0.0
"market for vinasse, from fermentation of sweet sorghum","vinasse, from fermentation of sweet sorghum",Support activities for crop production,0161, Beet-pulp and other waste of sugar manufacture,39149,WasteTreatment,Waste treatment & disposal,7b96be301574458a60a4f651f253f574,market activity,GLO,1.0,kilogram,0.0
"market for distribution network, electricity, low voltage","distribution network, electricity, low voltage",Construction of utility projects,4220, Civil engineering works,53200,,,a0292b0328a3b02bc80b97b87f293152,market activity,GLO,1.0,kilometer,0.0
maize chop to generic market for energy feed,maize chop,Manufacture of prepared animal feeds,1080," Maize (corn), other",1122,AgriForeAnim,Agricultural and forestry products,30f3542b856d53632fe55cd13060a3ca,ordinary transforming activity,RoW,1.0,kilogram,0.0
"treatment of waste polystyrene, unsanitary landfill, very wet infiltration class (1000mm)",waste polystyrene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,776e8ffce34af096c9f7d9abd17f5602,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"market for fluorspar, 97% purity","fluorspar, 97% purity",Mining of chemical and fertilizer minerals,0891, Other chemical minerals,16190,OreMinFuel,"Ores, minerals & fuels",2eca625fed4ec15a5801920e79bcc616,market activity,GLO,1.0,kilogram,0.0
"treatment of biowaste, municipal incineration",biowaste,Treatment and disposal of non-hazardous waste,3821, Wastes from food and tobacco industry,39100,WasteTreatment,Waste treatment & disposal,e70a41a1441b35a2e10206336abe66fe,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"treatment of bottom ash, MSWI-WWT, WW from wafer fabrication, slag compartment","bottom ash, MSWI-WWT, WW from wafer fabrication",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,c19cc82de65f47bbd9eb71aebf0a9ab5,ordinary transforming activity,GLO,-1.0,kilogram,0.0
market for acetanilide,acetanilide,Manufacture of basic chemicals,2011, Basic organic chemicals,34100,Chemical,Chemical products,e52040684f61180da5c87eea563f6c6f,market activity,GLO,1.0,kilogram,0.0
"aluminium ingot, primary, to aluminium, cast alloy market","aluminium, cast alloy",Manufacture of basic precious and other non-ferrous metals,2420, Unwrought aluminium,41431,MetalAlloy,"Basic metals & alloys, their semi-finished products",28324f100006521b0afd1bbc22a77cc8,ordinary transforming activity,GLO,1.0,kilogram,0.0
"market for barley grain, organic","barley grain, organic","Growing of cereals (except rice), leguminous crops and oil seeds",0111," Barley, other",1152,AgriForeAnim,Agricultural and forestry products,cf4b6cb9dde23c73e1efd1731eee2f3d,market activity,GLO,1.0,kilogram,0.0
market for wastewater from vegetable oil refinery,wastewater from vegetable oil refinery,Sewerage,3700, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,cc0897114ddde15de830ff4141beb7ca,market activity,GLO,-1.0,cubic meter,0.0
"market for transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas","transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas",Sea and coastal freight water transport,5012, Coastal and transoceanic water transport services of freight by tankers,65212,OreMinFuel,"Ores, minerals & fuels",66fc68a35be4c2892cc463e3d68c5fd5,market activity,GLO,1.0,ton kilometer,0.0
"market for transport, passenger, electric bicycle, electricity from renewable energy products","transport, passenger, electric bicycle, electricity from renewable energy products",Other passenger land transport,4922," Other land transportation services of passengers, n.e.c.",64119,OreMinFuel,"Ores, minerals & fuels",4725690adde063b41ee69f37320332c7,market activity,GLO,1.0,person kilometer,0.0
"market for polypropylene, granulate","polypropylene, granulate",Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,34700,PlastRub,Plastics & rubber products,59bd993148ab113c8da6e4493c63e6d6,market activity,GLO,1.0,kilogram,0.0
"cadmium sulfide production, semiconductor-grade","cadmium sulfide, semiconductor-grade",Manufacture of basic chemicals,2011, Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],34250,Chemical,Chemical products,34b5e390c3a9311ca17ada3fe37edf97,ordinary transforming activity,RoW,1.0,kilogram,0.0
"market for inverter, 500kW","inverter, 500kW",Manufacture of other electrical equipment,2790," Parts for the goods of classes 4711, 4712 and 4714 to 4716",47170,MachElecTrans,Metal/electronic equipments and parts,ab184fefd8c9925bbc6656973e61cb61,market activity,GLO,1.0,unit,0.0
trimethyl borate production,trimethyl borate,Manufacture of basic chemicals,2011, Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids an[…],34160,Chemical,Chemical products,2776e5e38bdf2d816a1e4fdb974412d4,ordinary transforming activity,GLO,1.0,kilogram,0.0
"mandarin production, sorted and graded","mandarin, fresh grade",Growing of citrus fruits,0123," Tangerines, mandarins, clementines",1324,AgriForeAnim,Agricultural and forestry products,4fa3da2bf297616ed5b17e7827447f1a,ordinary transforming activity,RoW,1.0,kilogram,0.0
"treatment of blast furnace dust, residual material landfill",blast furnace dust,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,fb9f5f893ac261c8aa9ca7d0427fe399,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"market for rice seed, for sowing","rice seed, for sowing",Seed processing for propagation,0164," Rye, seed",1161,AgriForeAnim,Agricultural and forestry products,d112b08963258722001f48dddf61c304,market activity,GLO,1.0,kilogram,0.0
"market for nickel, class 1","nickel, class 1",Manufacture of basic precious and other non-ferrous metals,2420, Unwrought nickel,41422,MetalAlloy,"Basic metals & alloys, their semi-finished products",ecb6b7567a4f31c9dfbb4e648c0518f5,market activity,GLO,1.0,kilogram,0.0
"thermal storage system construction, solar tower power plant, 20 MW","thermal storage system, solar tower power plant, 20 MW",Construction of utility projects,4220, Power plants,53262,,,915225263f99be4a6af29354ba34caf0,ordinary transforming activity,RoW,1.0,unit,0.0
"market for photovoltaic laminate, single-Si wafer","photovoltaic laminate, single-Si wafer",Manufacture of electronic components and boards,2610," Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]",47150,MachElecTrans,Metal/electronic equipments and parts,857631c9243d775fb728666111abb960,market activity,GLO,1.0,square meter,0.0
"electric connector production, wire clamp","electric connector, wire clamp",Manufacture of electronic components and boards,2610, Electronic valves and tubes; electronic components; parts thereof,47100,MachElecTrans,Metal/electronic equipments and parts,beb2348ab6f72c562307b2625339109b,ordinary transforming activity,GLO,1.0,kilogram,0.0
"market for steel removed by milling, average","steel removed by milling, average",Treatment and coating of metals; machining,2592," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,e3670f20475b50d504a94e1dd4e4de8a,market activity,GLO,1.0,kilogram,0.0
"market for bagasse, from sugarcane","bagasse, from sugarcane",Manufacture of sugar,1072, Bagasse,39141,WasteTreatment,Waste treatment & disposal,bc4e0f312fdacd1049a5cc6c270e00ad,market activity,RoW,-1.0,kilogram,0.0
natural gas processing plant production,natural gas processing plant,Extraction of natural gas,0620, Power plants,53262,,,1d5aae6a8fb8de8048392dd7be20733c,ordinary transforming activity,GLO,1.0,unit,0.0
sodium tetrafluoroborate production,sodium tetrafluoroborate,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,34200,Chemical,Chemical products,b768f94faa54c65f8f88167bd73519cc,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for lime mortar,lime mortar,"Manufacture of cement, lime and plaster",2394, Glass and glass products and other non-metallic products n.e.c.,37000,GlasNonMetal,Glass and other non-metallic products,03c1c2fb8d52d30d5c6eda694604c0da,market activity,GLO,1.0,kilogram,0.0
"market for glass cullet, for Saint-Gobain ISOVER SA","glass cullet, for Saint-Gobain ISOVER SA",Collection of non-hazardous waste,3811," Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",37111,GlasNonMetal,Glass and other non-metallic products,4788979144da3c68edc777f78790ac5c,market activity,GLO,1.0,kilogram,0.0
"treatment of bottom ash, MSWI-WWT, WW from ammonium paratungstate production, slag compartment","bottom ash, MSWI-WWT, WW from ammonium paratungstate production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,e9f2c0d9cb2c4d6990f530828a69a983,ordinary transforming activity,RoW,-1.0,kilogram,0.0
market for manganese(III) oxide,manganese(III) oxide,Manufacture of basic chemicals,2011, Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],34220,Chemical,Chemical products,b3e6380631766321e7f3db7aac6a16d2,market activity,GLO,1.0,kilogram,0.0
"treatment of sewage sludge, 75% water, WWT, WW from plywood production, sanitary landfill","sewage sludge, 75% water, WWT, WW from plywood production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,02605024887599b1f810d5ea99cccc12,ordinary transforming activity,GLO,-1.0,kilogram,0.0
market for building machine,building machine,"Manufacture of machinery for mining, quarrying and construction",2824," Machinery for mining, quarrying and construction, and parts thereof",44400,MachElecTrans,Metal/electronic equipments and parts,a6907150baf5c3bef76b29cb9024b618,market activity,GLO,1.0,unit,0.0
market for rape seed,rape seed,"Growing of cereals (except rice), leguminous crops and oil seeds",0111, Rape or colza seed,1443,AgriForeAnim,Agricultural and forestry products,c975cad417ba14e6a679ebde69469d06,market activity,GLO,1.0,kilogram,0.0
"market for laser machining, metal, with YAG-laser, 200W power","laser machining, metal, with YAG-laser, 200W power",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",f819c520b159dfff0ba0fc66e4fe8f73,market activity,GLO,1.0,hour,0.0
"market for textile, jute","textile, jute",Weaving of textiles,1312," Woven fabrics of jute and other textile bast fibres (except flax, true hemp and ramie)",26570,ProcBio,Textile,94c9e46b92139466ee15702f64d0edef,market activity,GLO,1.0,kilogram,0.0
market for dichloropropene,dichloropropene,Manufacture of basic chemicals,2011, Basic organic chemicals,34100,Chemical,Chemical products,b1690a2fd79ba2a49d7d0d6f8e0adb00,market activity,GLO,-1.0,kilogram,0.0
mercury production,mercury,Mining of other non-ferrous metal ores,0729, Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […],41600,MetalAlloy,"Basic metals & alloys, their semi-finished products",791f21ebb74c3564e4e7c4fc4d4bcd5c,ordinary transforming activity,GLO,1.0,kilogram,0.0
activated silica production,activated silica,Manufacture of basic chemicals,2011, Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of conifer[…],34400,Chemical,Chemical products,639a7ddef1d34c025530dc7573fefd0d,ordinary transforming activity,GLO,1.0,kilogram,0.0
"electricity production, nuclear, aluminium industry","electricity, high voltage, aluminium industry","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",d7efdbc7a03c53e09433d372768a5a79,ordinary transforming activity,RoW,1.0,kilowatt hour,0.0
"market for internal combustion engine, passenger car","internal combustion engine, passenger car",Manufacture of motor vehicles,2910, Internal combustion engines of a kind used for motor vehicles,43120,MachElecTrans,Metal/electronic equipments and parts,5944114e1320a925d83c49fabfbfaa91,market activity,GLO,1.0,kilogram,0.0
linseed production,linseed,"Growing of cereals (except rice), leguminous crops and oil seeds",0111, Linseed,1441,AgriForeAnim,Agricultural and forestry products,e6f8a90f1b1c6ec7a9ddb89c0089d870,ordinary transforming activity,RoW,1.0,kilogram,0.0
"market for residue from TiO2 production, chloride process","residue from TiO2 production, chloride process",Treatment and disposal of hazardous waste,3822," Waste and scrap of tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium […]",39367,WasteTreatment,Waste treatment & disposal,40a8e272a9eac5c99018a3ad9dca033f,market activity,GLO,-1.0,kilogram,0.0
"market for transport, freight, sea, container ship with reefer, freezing","transport, freight, sea, container ship with reefer, freezing",Sea and coastal freight water transport,5012, Coastal and transoceanic water transport services of freight by refrigerator vessels,65211,OreMinFuel,"Ores, minerals & fuels",668e0e89cd73d168c46c39aa740e3f18,market activity,GLO,1.0,ton kilometer,0.0
"market for energy feed, gross","energy feed, gross",Manufacture of prepared animal feeds,1080, Preparations used in animal feeding n.e.c.,23319,ProcBio,"Food & beverages, animal feed",ccd4af96ae82fc075ba5e2b1bc9a7d6e,market activity,RoW,1.0,megajoule,0.0
market for used cable,used cable,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,1d0bf303e732aa91009fcbff0052ddcc,market activity,GLO,-1.0,kilogram,0.0
nitric oxide production,nitric oxide,Manufacture of basic chemicals,2011," Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",34210,Chemical,Chemical products,5b0885ddd40858017557aee95c88a3bd,ordinary transforming activity,GLO,1.0,kilogram,0.0
spodumene production,spodumene,Mining of other non-ferrous metal ores,0729, Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles […],41600,MetalAlloy,"Basic metals & alloys, their semi-finished products",7f4536d142074ba7e075f9618783b330,ordinary transforming activity,RoW,1.0,kilogram,0.0
"market for sewage sludge, 70% water, WWT, WW from ammonium paratungstate production","sewage sludge, 70% water, WWT, WW from ammonium paratungstate production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,f763af6e8a9059b7d3ee424519e90ef2,market activity,RoW,-1.0,kilogram,0.0
"scandium oxide to generic market for electrolyte, for solid oxide fuel cell",scandium oxide,Manufacture of batteries and accumulators,2720," Compounds of rare earth metals, of yttrium or of scandium",34290,Chemical,Chemical products,6fffd073984b333aa3988c9ec974ee52,ordinary transforming activity,GLO,1.0,kilogram,0.0
phosphorus trichloride production,phosphorus trichloride,Manufacture of basic chemicals,2011," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,Chemical,Chemical products,d3d0435812d68a77b2ae7fac800eeba1,ordinary transforming activity,GLO,1.0,kilogram,0.0
"treatment of waste polypropylene, unsanitary landfill, very wet infiltration class (1000mm)",waste polypropylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,8967ed0a558a43474f622419a9d00027,ordinary transforming activity,GLO,-1.0,kilogram,0.0
market for iron-nickel-chromium alloy,iron-nickel-chromium alloy,Manufacture of basic iron and steel,2410, Other ferro-alloys,41115,MetalAlloy,"Basic metals & alloys, their semi-finished products",513b44ccd88202a95502e4206edcf63a,market activity,GLO,1.0,kilogram,0.0
market for synthetic gas factory,synthetic gas factory,Construction of other civil engineering projects,4290, Other constructions for manufacturing,53269,,,baa6027902374b5f4dedefd23068f200,market activity,GLO,1.0,unit,0.0
"market for cover plaster, organic","cover plaster, organic","Manufacture of cement, lime and plaster",2394, Plasters,37410,GlasNonMetal,Glass and other non-metallic products,d9c35f534455d4053f34be7a3be402c5,market activity,GLO,1.0,kilogram,0.0
market for metal working factory,metal working factory,Construction of buildings,4100, Other constructions for manufacturing,53269,,,6c18dcda1c7418700d997e69ea68c622,market activity,GLO,1.0,unit,0.0
market for oil mill,oil mill,Construction of other civil engineering projects,4290, Other civil engineering works,53290,,,9bfd4dd3762232eeb760163b04d4f872,market activity,GLO,1.0,unit,0.0
"sawing and planing, paraná pine, kiln dried","sawnwood, paraná pine, dried (u=10%)",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",31101,ProcBio,"Wood, straw & cork",2c49b2a81edc5c7a5f03a0f0d99d4e14,ordinary transforming activity,RoW,1.0,cubic meter,0.0
"market for operation, computer, desktop, with cathode ray tube display, off mode","operation, computer, desktop, with cathode ray tube display, off mode","Photocopying, document preparation and other specialized office support act",8219, Support services,85000,,,a1e59e58d422d07ed1791e02403a2aec,market activity,GLO,1.0,hour,0.0
"market for transport, passenger car, small size, diesel, EURO 5","transport, passenger car, small size, diesel, EURO 5",Other passenger land transport,4922," Other land transportation services of passengers, n.e.c.",64119,OreMinFuel,"Ores, minerals & fuels",b2ab66ae7aac841f8dd32847b975f98b,market activity,GLO,1.0,kilometer,0.0
"toner production, black, powder","toner, black, powder","Manufacture of paints, varnishes and similar coatings, printing ink and mas",2022, Printing ink,35130,Chemical,Chemical products,cc171d6423a83c798edb36df3d2c3b35,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for ethyl tert-butyl ether,ethyl tert-butyl ether,Manufacture of basic chemicals,2011, Biodiesel,35491,Chemical,Chemical products,798c4e9f1ab6f29917b752f61ff83a97,market activity,GLO,1.0,kilogram,0.0
"market for window frame, aluminium, U=1.6 W/m2K","window frame, aluminium, U=1.6 W/m2K",Manufacture of structural metal products,2511," Doors, windows and their frames and thresholds for doors, of iron, steel or aluminium",42120,ProcBio,"Food & beverages, animal feed",ba1949c7558a1fe5affecfe49ab281d5,market activity,GLO,1.0,square meter,0.0
"electron gun production, for cathode ray tube display","electron gun, for cathode ray tube display",Manufacture of electronic components and boards,2610, Parts for the goods of subclasses 47140 to 47160,47173,MachElecTrans,Metal/electronic equipments and parts,5f3fd72cf12cf7f3f23148bb7ec2a438,ordinary transforming activity,GLO,1.0,kilogram,0.0
"market for transport, freight, train with reefer, cooling","transport, freight, train with reefer, cooling",Freight rail transport,4912, Railway transport services of freight by refrigerator cars,65121,OreMinFuel,"Ores, minerals & fuels",1fd03f837fe289aadf0985a9e12a48b2,market activity,GLO,1.0,ton kilometer,0.0
"market for garage, wood, non-insulated, fire-protected","garage, wood, non-insulated, fire-protected",Construction of buildings,4100, Industrial buildings,53121,,,5bdd230cbc85d1898ba39a7bd71bdcc3,market activity,GLO,1.0,square meter,0.0
market for 1-propanol,1-propanol,Manufacture of basic chemicals,2011," Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",34139,Chemical,Chemical products,3c24268d3b6aceba0b4d011e2dbdde00,market activity,GLO,1.0,kilogram,0.0
"solder production, bar, Sn63Pb37, for electronics industry","solder, bar, Sn63Pb37, for electronics industry",Manufacture of other chemical products n.e.c.,2029," Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or core[…]",42950,ProcBio,"Food & beverages, animal feed",5d41bf02309e815e5d066ea882ed8315,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for sodium nitrate,sodium nitrate,Manufacture of basic chemicals,2011, Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,34240,Chemical,Chemical products,34e102f73f26e0ca3e2667690d5594b1,market activity,GLO,1.0,kilogram,0.0
"market for polystyrene, extruded","polystyrene, extruded",Manufacture of plastics and synthetic rubber in primary forms,2013," Polymers of styrene, in primary forms",34720,PlastRub,Plastics & rubber products,ad2e92faf937b727ec92ce44552f70de,market activity,GLO,1.0,kilogram,0.0
market for waste newspaper,waste newspaper,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of paper or paperboard,39240,WasteTreatment,Waste treatment & disposal,5332bab635c9cb9875902936a2de6f97,market activity,GLO,-1.0,kilogram,0.0
erbium oxide to generic market for mischmetal,erbium oxide,Mining of other non-ferrous metal ores,0729," Compounds of rare earth metals, of yttrium or of scandium",34290,Chemical,Chemical products,fd94e81e434e8787546a51e542a5e351,ordinary transforming activity,GLO,1.0,kilogram,0.0
"treatment of waste polypropylene, unsanitary landfill, moist infiltration class (300mm)",waste polypropylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,77713a682553bb7d1eb7603267562158,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"recultivation, ilmenite mine","recultivation, ilmenite mine",Remediation activities and other waste management services,3900, Site remediation and clean-up services,94410,,,47a3f67f9263bb2023a31e310846c7d8,ordinary transforming activity,GLO,1.0,square meter,0.0
market for iron pellet,iron pellet,Manufacture of basic iron and steel,2410," Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets[…]",41116,MetalAlloy,"Basic metals & alloys, their semi-finished products",51c1d66a701f7ed074034b7834baaadb,market activity,GLO,1.0,kilogram,0.0
market for butane,butane,Manufacture of basic chemicals,2011, Basic organic chemicals,34100,Chemical,Chemical products,66d64d684489a9a5cbd327fc480adcb5,market activity,GLO,1.0,kilogram,0.0
"battery production, Li-ion, LiMn2O4, rechargeable, prismatic","battery, Li-ion, LiMn2O4, rechargeable, prismatic",Manufacture of batteries and accumulators,2720, Electric accumulators,46420,MachElecTrans,Metal/electronic equipments and parts,2be8a678a529ca4711590237a90fc03e,ordinary transforming activity,GLO,1.0,kilogram,0.0
"fishmeal and fish oil production, 63-65% protein, from fish residues","fishmeal, 63-65% protein","Processing and preserving of fish, crustaceans and molluscs",1020," Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates",21291,ProcBio,"Food & beverages, animal feed",44ad7406067b4806fe945b39b06c0003,ordinary transforming activity,RoW,1.0,kilogram,0.0
"market for chemical, organic","chemical, organic","Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics",201, Basic organic chemicals,34100,Chemical,Chemical products,e6c46d642ea4f31ca764b1aa3625045c,market activity,GLO,1.0,kilogram,0.0
"market for refrigeration machine, carbon dioxide, liquid as refrigerant","refrigeration machine, carbon dioxide, liquid as refrigerant",Manufacture of bodies (coachwork) for motor vehicles; manufacture of traile,2920," Refrigerating and freezing equipment and heat pumps, except household type equipment",43913,MachElecTrans,Metal/electronic equipments and parts,21cb169a0ee124bf996f8cf1510925dd,market activity,GLO,1.0,unit,0.0
tungsten mine operation and beneficiation,tungsten concentrate,Mining of other non-ferrous metal ores,0729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,OreMinFuel,"Ores, minerals & fuels",fe9f53e9196e2029ab0aea936d3e7f44,ordinary transforming activity,RoW,1.0,kilogram,0.0
vegetable oil refinery construction,vegetable oil refinery,Construction of other civil engineering projects,4290, Other constructions for manufacturing,53269,,,441f74b74202d712ea2470261cdcf533,ordinary transforming activity,GLO,1.0,unit,0.0
market for gadolinium oxide,gadolinium oxide,Mining of other non-ferrous metal ores,0729," Compounds of rare earth metals, of yttrium or of scandium",34290,Chemical,Chemical products,31bf99c575e56cbda77cd94b71b23c68,market activity,GLO,1.0,kilogram,0.0
"palm oil, refined, to generic market for vegetable oil, refined","vegetable oil, refined",Manufacture of vegetable and animal oils and fats,1040, Vegetable oils,21600,ProcBio,"Food & beverages, animal feed",dd67623b943379cf5b676de76c4c22d6,ordinary transforming activity,GLO,1.0,kilogram,0.0
"treatment of sewage sludge, 75% water, WWT, WW from LCD production, sanitary landfill","sewage sludge, 75% water, WWT, WW from LCD production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,954c41f6e05c89c4b3fffd678cdf6ee4,ordinary transforming activity,GLO,-1.0,kilogram,0.0
"evaporation of natural gas, import from AE","natural gas, high pressure",Manufacture of gas; distribution of gaseous fuels through mains,3520," Natural gas, liquefied or in the gaseous state",12020,OreMinFuel,"Ores, minerals & fuels",f0fc880d043eaa76cd3c5e6e89ca24fd,ordinary transforming activity,GLO,1.0,cubic meter,0.0
cobalt production,cobalt hydroxide,Manufacture of basic precious and other non-ferrous metals,2420," Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",41601,MetalAlloy,"Basic metals & alloys, their semi-finished products",bd33fa1dcd98bd56bfa2cca264b1149e,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for stibnite concentrate,stibnite concentrate,Mining of other non-ferrous metal ores,0729, Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),14290,OreMinFuel,"Ores, minerals & fuels",37a6c0f8f17273941da3cf7fd5945b22,market activity,GLO,1.0,kilogram,0.0
