name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code_EI,activity type,location,production amount,unit,priority
"treatment of lead in car shredder residue, municipal incineration",lead in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of lead,39364,WasteTreatment,Waste treatment & disposal,3bea9c1755f35a6a0d1e0f7829d0a7cd,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, laptop computer, municipal incineration with fly ash extraction","residue from mechanical treatment, laptop computer",Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,f1017f3ff7b2946b6a9b1b36c5f13c8c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste reinforcement steel, recycling",waste reinforcement steel,Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,8127828b9c81328da3946bf4df4af4f4,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residues, MSWI[F]-WWT, WW from wafer fabrication, residual material landfill","residues, MSWI[F]-WWT, WW from wafer fabrication",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,752155db5eed318e8fde2a8f1555a703,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyvinylfluoride, municipal incineration",waste polyvinylfluoride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,6d8c8d5327945003760513739ba09c58,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI-WWT, rainwater mineral oil storage, slag compartment","bottom ash, MSWI-WWT, rainwater mineral oil storage",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,e6e1a90a960396ad42055bf52cb7a311,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of scrap aluminium, municipal incineration",scrap aluminium,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,c8265071af1034d39c86502b5ae7d4ac,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of used air filter, decentralized unit, 180-250 m3/h","used air filter decentralized unit, 180-250 m3/h",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,6d00e557ea71cfd2d9bf791fb224a206,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste paint, municipal incineration",waste paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,da3d6372e5cb8a817ea9c9efe65f7eb3,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste expanded polystyrene, municipal incineration with fly ash extraction",waste expanded polystyrene,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,59105131f1cd7407448a054afa9ba0e0,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint on metal, sorting plant",waste paint on metal,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,cefadddcc160a10e58e6f70ee1d4031e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, heat carrier liquid, 40% C3H8O2, slag compartment","bottom ash, MSWI[F]-WWT, heat carrier liquid, 40% C3H8O2",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,5714784e74ecdcc77cccde56f5dc70e4,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint, inert material landfill",waste emulsion paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,82157571c1d7ee1819a239d7e09a6ee6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used air filter, decentralized unit, 250 m3/h","used air filter decentralized unit, 250 m3/h",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,194eb65b5a0a02467fd3cc1ff2ef32e3,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste sealing sheet, polyethylene, municipal incineration with fly ash extraction","waste sealing sheet, polyethylene",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,9ce5ebf0d0179839911563222308a0bb,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste brick, collection for final disposal",waste brick,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,7f2b05378de4cf8a7a89c40a23087b20,ordinary transforming activity,CH,-1.0,kilogram,1.0
electric arc furnace secondary metallurgy slag to market for electric arc furnace secondary metallurgy slag for recovery,electric arc furnace secondary metallurgy slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,9d5beb81aa5e8c06dcad544d99ed0594,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste plaster-cardboard sandwich, recycling",waste plaster-cardboard sandwich,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,a32115cc8908d05915bb207cd42a5da4,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plaster-cardboard sandwich, collection for final disposal",waste plaster-cardboard sandwich,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,eea2d03ba7d7f86af17db1b790478290,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polypropylene, municipal incineration",waste polypropylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,2e689d03e3602d0dfc65ca2cb4b146fb,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of redmud from bauxite digestion, residual material landfill",redmud from bauxite digestion,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,80e1c8d47f420ef2d337e115cdd3b502,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap tin sheet, municipal incineration with fly ash extraction",scrap tin sheet,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of tin,39366,WasteTreatment,Waste treatment & disposal,38c938dbee44a49649fc3da84b10b08a,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of H3PO4 purification residue, residual material landfill",H3PO4 purification residue,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5b8ae81c823c94b2df1568c15a007c52,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, desktop computer, municipal waste incineration","residue from mechanical treatment, desktop computer",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,cb37825995038d1e27f3d270587ee259,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap tin sheet, sanitary landfill",scrap tin sheet,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of tin,39366,WasteTreatment,Waste treatment & disposal,da696e790afefe59f16628af6c4b36d0,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used printer, laser, manual dismantling","used printer, laser",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,ebff8fd581a8e73e2f8e00442c523407,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene terephthalate, municipal incineration",waste polyethylene terephthalate,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,271dde75b7fd272e1cdf76591ccfe3e5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral oil, hazardous waste incineration, with energy recovery",waste mineral oil,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,7a7d040e15d85a3cae74ec885e4fc88f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyurethane foam, collection for final disposal",waste polyurethane foam,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,471ce597f8a5bbf98d817e288aa67856,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, GE 250 RH",used blower and heat exchange unit GE 250 RH,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,b61df3ca407ee566a17e990341c3df8c,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of used silencer, steel, DN 315, 50 mm","used silencer steel, DN 315",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,9d9619f0ca9a59d9239af3870897a036,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste reinforced plasterboard, sorting plant",waste reinforced plasterboard,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,209d7e6322dfe21c1b07be704d56c12c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste cement-fibre slab, recycling",waste cement-fibre slab,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,eda65f6c842f85452ea0a4414eef2bd8,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste reinforced concrete, sorting plant",waste reinforced concrete,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,8f654e5a866cfc5535470d1b89f24a9d,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of decommissioned airport infrastructure, contaminated gravel","decommissioned airport infrastructure, contaminated gravel",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,d9796c8efd9d5b052222478d6bc400b5,ordinary transforming activity,RER,-1.0,unit,1.0
"treatment of residues, MSWI[F]-WWT, heat carrier liquid, 40% C3H8O2, residual material landfill","residues, MSWI[F]-WWT, heat carrier liquid, 40% C3H8O2",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,e8f846116245f07e3f92c31825fc0c9f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used capacitor, to hazardous waste incineration",used capacitor,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5b9ff7589cdb49b0f64ddce094014e60,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, laser printer, municipal waste incineration","residue from mechanical treatment, laser printer",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,54bd4e8d6bd33975175316b532420bb2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic, industrial electronics, municipal incineration","waste plastic, industrial electronics",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,d331e122d4432c4b90276b297478cdd0,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of decarbonising waste, residual material landfill",decarbonising waste,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,9fd94393db2c59c1193b1e8684149ba9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste rubber, unspecified, municipal incineration with fly ash extraction","waste rubber, unspecified",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,ce78724dcfc098f098519fbc12d21332,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste graphical paper, sanitary landfill",waste graphical paper,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,de240e6b2d9c9bdbef79fcea5a3bf101,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of lignite ash, municipal incineration with fly ash extraction",lignite ash,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,7109ecfbbfb6f97b94c2e01e86c8fc4f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used liquid crystal display, manual dismantling",used liquid crystal display,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,be6c70c75e4e97bbe20673b05d658e81,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, KWLC 1200",used blower and heat exchange unit KWLC 1200,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,19ee0ecef400c028222d54299fef5cc7,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of used beverage cans, for recycling, unsorted, sorting",used beverage cans,Materials recovery,3830, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,4dbd7f80e3ee3618b2ef633a88c212ba,ordinary transforming activity,CH,-1.0,kilogram,1.0
"electric arc furnace slag to market for electric arc furnace slag, for recovery",electric arc furnace slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,f2c1ced3a7b89613272c7c8830023043,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste polypropylene, sanitary landfill",waste polypropylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,f2cc1f3dd0807035ceb02d4cdb95bdf9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene, for recycling, unsorted, sorting","waste polyethylene, for recycling, unsorted",Collection of non-hazardous waste,3811," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,45d8b90e463e54ae8a7052cbebfb5eff,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral wool, collection for final disposal",waste mineral wool,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,181649ceafe2d905b1a714d6eff51122,ordinary transforming activity,CH,-1.0,kilogram,1.0
"blast furnace sludge to market for blast furnace sludge, for recovery",blast furnace sludge,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,60eeb32ba649813e754c21daefd4cb53,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, Storkair G 90",used blower and heat exchange unit Storkair G 90,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,973a128cc3777f94ce43b2770ce39f21,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of residue from mechanical treatment, IT accessory, municipal incineration with fly ash extraction","residue from mechanical treatment, IT accessory",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,38838193929aa06753146f4f2ed0cd85,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, liquid crystal display, municipal waste incineration","residue from mechanical treatment, liquid crystal display",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,12cd5afb46fd97b263efd8b74c4f2236,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste graphical paper, municipal incineration",waste graphical paper,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,1c2ee826894689499707522032628e99,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of hard coal ash, municipal incineration",hard coal ash,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,8c4d16984d0d3b81d64df5785e465e52,ordinary transforming activity,CH,-1.0,kilogram,1.0
treatment of automobile catalyst,spent automobile catalyst,Manufacture of basic precious and other non-ferrous metals,2420, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,ccb7265c62a0541b0f417c9c86fc2301,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of tyre wear emissions, passenger car","tyre wear emissions, passenger car",Treatment and disposal of non-hazardous waste,3821, Used pneumatic tyres of rubber,39260,WasteTreatment,Waste treatment & disposal,a310013e15b5e03d34810f54c05c7c65,ordinary transforming activity,RER,-1.0,kilogram,1.0
"basic oxygen furnace dust to market for basic oxygen furnace dust, for recovery",basic oxygen furnace dust,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,938b977358fa64642c970cdde45a8e43,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of zinc in car shredder residue, municipal incineration with fly ash extraction",zinc in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of zinc,39365,WasteTreatment,Waste treatment & disposal,fc4c7ff5209dcc7b1551affcbf1e8bc5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used desktop computer, manual dismantling",used desktop computer,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,46232b267b7a478fcfb67c5277aaf387,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used air distribution terminal panel, steel, 120 m3/h","used air distribution terminal panel steel, 120 m3/h",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,d2356a6e5f9582e5fbcbbf86215d26fc,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste plastic plaster, sorting plant",waste plastic plaster,Materials recovery,3830," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,95ef2cde7d162db888c2c58227b89230,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic, industrial electronics, municipal incineration with fly ash extraction","waste plastic, industrial electronics",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,0372c36e7e42114bc4583e570f45426e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used laptop computer, manual dismantling",used laptop computer,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,e2d719e334f89dcaf27ca415cded6a1c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste wire plastic, municipal incineration with fly ash extraction",waste wire plastic,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,61d0de56d0279fe5ed9c674070ba0736,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residues, MSWI[F]-WWT[R], WW from anaerobic digestion of whey, residual material landfill","residues, MSWI[F]-WWT[R], WW from anaerobic digestion of whey",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,f1c2f36fc433ccebfb190eb33be63db6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyurethane seal, collection for final disposal",waste polyurethane seal,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,7132988056553cb44490c2a1c965be56,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste sealing sheet, polyvinylchloride, municipal incineration with fly ash extraction","waste sealing sheet, polyvinylchloride",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,582d4c31330f936944251ed8dad8fe08,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of aluminium scrap, new, at remelter","aluminium scrap, new",Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,0fd6f05dc1d35c2e9382cc5bfc8c6e28,ordinary transforming activity,RER,-1.0,kilogram,1.0
"basic oxygen furnace slag to market for basic oxygen furnace slag, for recovery",basic oxygen furnace slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,9e348f431a6801eff6cabfed71674562,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste rubber, unspecified, municipal incineration","waste rubber, unspecified",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,e321e2436f552b65e91cc8f5898768de,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste polyethylene, municipal incineration with fly ash extraction",waste polyethylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,2ef30fc059ca8a606384d40b0bb988bc,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI-WWT, WW, average, slag compartment","bottom ash, MSWI-WWT, WW, average",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,2b1ec0a60b4496ae5d6c92fb90f4cc7e,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste polyurethane seal, sorting plant",waste polyurethane seal,Materials recovery,3830," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,29230487f80c44214c66e1bba0f2e883,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of coating from waste cathode ray tube display, municipal waste incineration",coating from waste cathode ray tube display,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,6594180c22436d0a361bcb6ebc69099d,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polystyrene, municipal incineration",waste polystyrene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,4692627b0ebbf395f2e55239b09ceea9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of steel in car shredder residue, municipal incineration",steel in car shredder residue,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,11caaa794f16f7d0b33b2335ef2ce34b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste sealing sheet, polyvinylchloride, municipal incineration","waste sealing sheet, polyvinylchloride",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,fec66937de7ab35315b7ab2a753381c8,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint on wall, collection for final disposal","waste emulsion paint, on wall",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,8a2e6405d20eafd92d228217a82c6919,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of average incineration residue, residual material landfill",average incineration residue,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,64ffd21fc8a5b3b97a8c734c5490e4fc,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of refractory spent pot liner from Al electrolysis, residual material landfill",refractory spent pot liner from Al electrolysis,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,bc2016d285087691dc898b6f47cdad45,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, KWL 250",used blower and heat exchange unit KWL 250,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,9872e4cdaf7fbfa57d6f02759e3953d9,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste polyurethane, municipal incineration",waste polyurethane,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,dd44f2df98c27fb7b771ba92e5bffad5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used silencer, steel, DN 125","used silencer steel, DN 125",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,9febaae844827b728a50d920e8989f8f,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of used industrial electronic device, manual dismantling",used industrial electronic device,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,bd940683833fe728dabf8a40bea6026a,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic plaster, collection for final disposal",waste plastic plaster,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,dc7caa0115ca7797680ed0ede0a92792,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of ash from deinking sludge, residual material landfill",ash from deinking sludge,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5a493ca48e586d9d7d73292fc9232725,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used room-connecting overflow element, steel, approx. 40 m3/h","used room-connecting overflow element steel, approx. 40 m3/h",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,d3b1132ac2b70764e00cbd4af5a503c5,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste plastic, consumer electronics, municipal incineration","waste plastic, consumer electronics",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,7631bbfd8d86bd963146212608668465,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic, consumer electronics, municipal incineration with fly ash extraction","waste plastic, consumer electronics",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,69193cf01f8da05c4b3348b0019b67af,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of filter dust from Al electrolysis, residual material landfill",filter dust from Al electrolysis,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,5a9885b24c7e4451415f85a6d0f3ceb9,ordinary transforming activity,CH,-1.0,kilogram,1.0
treatment of used electric bicycle,used electric bicycle,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,3489be6194562402cd622d58a3647edc,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste textile, soiled, municipal incineration","waste textile, soiled",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,1cb211dcf7ebdcf689b942916be7a1d6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of lignite ash, sanitary landfill",lignite ash,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,a971cff65a7c4cbc4d89cab2ff6a7705,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of copper in car shredder residue, municipal incineration with fly ash extraction",copper in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of copper,39361,WasteTreatment,Waste treatment & disposal,4d495a72b8f0dc070ead2e745ea0eaeb,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint on wall, collection for final disposal",waste paint on wall,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,342b935da3f45f92706613244aec2c46,ordinary transforming activity,CH,-1.0,kilogram,1.0
